mult_atr_stop,objetivos_en_r,filtro_estructura,distancia_maxima_objetivo_pct,max_posiciones_simultaneas,tp1_al_menos_como_el_stop,ONDO 1a mitad,ONDO 2a mitad,BTC 1a mitad,BTC 2a mitad,peor,ops,valida
1.5,,ninguno,0.05,2,False,0.06,-0.058,0.098,-0.059,-0.059,265,False
2.5,"[1.0, 1.5, 2.5]",ninguno,0.05,2,False,0.15,0.133,-0.001,-0.069,-0.069,139,False
3.0,,ninguno,0.05,2,False,0.165,-0.073,0.163,-0.047,-0.073,154,False
1.5,"[1.0, 1.5, 2.5]",ninguno,0.05,2,False,0.115,0.019,0.044,-0.105,-0.105,294,True
2.5,,ninguno,0.05,2,False,0.285,-0.118,0.206,0.036,-0.118,164,False
2.0,,ninguno,0.05,2,False,0.088,-0.135,0.042,0.074,-0.135,220,False
2.0,"[1.0, 1.5, 2.5]",ninguno,0.05,2,False,0.059,-0.136,-0.035,-0.028,-0.136,221,True
1.5,"[1.0, 2.0, 3.0]",ninguno,0.05,2,False,0.179,0.092,-0.048,-0.154,-0.154,261,True
2.5,"[1.0, 2.0, 3.0]",ninguno,0.05,2,False,0.579,0.244,-0.057,-0.192,-0.192,107,False
2.0,"[1.0, 2.0, 3.0]",ninguno,0.05,2,False,0.005,-0.211,0.191,-0.025,-0.211,174,False
3.0,"[1.0, 1.5, 2.5]",ninguno,0.05,2,False,0.271,0.185,-0.136,-0.278,-0.278,120,False
3.0,"[1.0, 2.0, 3.0]",ninguno,0.05,2,False,0.594,0.392,-0.136,-0.297,-0.297,85,False
1.5,"[1.5, 3.0, 5.0]",ninguno,0.05,2,False,0.071,0.289,-0.087,-0.304,-0.304,205,False
2.0,"[1.5, 3.0, 5.0]",ninguno,0.05,2,False,0.092,-0.324,0.179,-0.206,-0.324,123,False
3.0,"[1.5, 3.0, 5.0]",ninguno,0.05,2,False,0.778,0.117,0.12,-0.391,-0.391,38,False
2.5,"[1.5, 3.0, 5.0]",ninguno,0.05,2,False,0.236,0.241,-0.385,-0.534,-0.534,63,False
